id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
19,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-icpsr-strsa-2000-2001-v1,,Survey of Truth and Reconciliation in South Africa 2000-2001,,en,,2013-03-06T14:12:38+,2026-04-04T20:14:44.984536,datafirst,zaf-icpsr-strsa-2000-2001-v1,,API-CALL
20,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-afb-sa-2000-v1,,Afrobarometer Survey South Africa 2000,,en,,2011-12-12T10:46:34+,2026-04-04T20:14:48.416717,datafirst,zaf-idasa-afb-sa-2000-v1,,API-CALL
21,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-2017-v1.0.0,,"National Income Dynamics Study 2017, Wave 5",,en,,2018-08-28T15:05:28+,2026-04-04T20:14:51.951624,datafirst,zaf-saldru-nids-2017-v1.0.0,,API-CALL
22,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-cram-2021-w5-v1.0.0,,"National Income Dynamics Study - Coronavirus Rapid Mobile Survey 2021, Wave 5",,en,,2021-07-02T20:08:18+,2026-04-04T20:14:55.420307,datafirst,zaf-saldru-nids-cram-2021-w5-v1.0.0,,API-CALL
23,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nidssd-2017-v1.0.0,,National Income Dynamics Study Secure Data 2017,,en,,2018-08-28T15:31:47+,2026-04-04T20:14:59.009414,datafirst,zaf-saldru-nidssd-2017-v1.0.0,,API-CALL
24,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-2010-2011-v4.0.0,,"National Income Dynamics Study 2010-2011, Wave 2",,en,,2013-11-24T12:05:21+,2026-04-04T20:15:02.748519,datafirst,zaf-saldru-nids-2010-2011-v4.0.0,,API-CALL
25,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nidssd-2010-2011-v4.0.0,,National Income Dynamics Study Secure Data 2010-2011,,en,,2018-08-24T13:11:19+,2026-04-04T20:15:06.863854,datafirst,zaf-saldru-nidssd-2010-2011-v4.0.0,,API-CALL
26,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/geo-reep-gts-2017-2019-v1,,Georgia Tobacco Survey 2017-2019,,en,,2021-12-23T13:22:12+,2026-04-04T20:15:10.682580,datafirst,geo-reep-gts-2017-2019-v1,,API-CALL
27,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-uct-um-caps-2002-2009-v1,,"Cape Area Panel Study 2002-2009, Waves 1-5",,en,,2012-10-31T08:58:08+,2026-04-04T20:15:14.050854,datafirst,zaf-uct-um-caps-2002-2009-v1,,API-CALL
28,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr36-2014-2015-v1,,Afrobarometer Survey 2014-2015,,en,,2018-02-15T08:23:33+,2026-04-04T20:15:17.442438,datafirst,afr-afr36-2014-2015-v1,,API-CALL
