id,project_id,license
232,232,CC BY
233,233,CC BY
234,234,CC BY
235,235,CC BY
236,236,CC BY
237,237,CC BY
238,238,CC BY
239,239,CC BY
240,240,CC BY
241,241,CC BY
242,242,CC BY
243,243,CC BY
244,244,CC BY
245,245,CC BY
246,246,CC BY
247,247,CC BY
248,248,CC BY
249,249,CC BY
250,250,CC BY
251,251,CC BY
252,252,CC BY
253,253,CC BY
254,254,CC BY
255,255,CC BY
256,256,CC BY
257,257,CC BY
258,258,CC BY
259,259,CC BY
260,260,CC BY
261,261,CC BY
262,262,CC BY
263,263,CC BY
264,264,CC BY
265,265,CC BY
266,266,CC BY
267,267,CC BY
268,268,CC BY
269,269,CC BY
270,270,CC BY
271,271,CC BY
272,272,CC BY
273,273,CC BY
274,274,CC BY
275,275,CC BY
276,276,CC BY
277,277,CC BY
278,278,CC BY
279,279,CC BY
280,280,CC BY
281,281,CC BY
282,282,CC BY
283,283,CC BY
284,284,CC BY
285,285,CC BY
286,286,CC BY
287,287,CC BY
288,288,CC BY
289,289,CC BY
290,290,CC BY
291,291,CC BY
292,292,CC BY
293,293,CC BY
294,294,CC BY
295,295,CC BY
296,296,CC BY
297,297,CC BY
298,298,CC BY
299,299,CC BY
300,300,CC BY
301,301,CC BY
302,302,CC BY
303,303,CC BY
304,304,CC BY
305,305,CC BY
306,306,CC BY
307,307,CC BY
308,308,CC BY
309,309,CC BY
310,310,CC BY
311,311,CC BY
312,312,CC BY
313,313,CC BY
314,314,CC BY
315,315,CC BY
316,316,CC BY
317,317,CC BY
318,318,CC BY
319,319,CC BY
320,320,CC BY
321,321,CC BY
322,322,CC BY
323,323,CC BY
324,324,CC BY
325,325,CC BY
326,326,CC BY
327,327,CC BY
328,328,CC BY
329,329,CC BY
330,330,CC BY
331,331,CC BY
332,332,CC BY
333,333,CC BY
334,334,CC BY
335,335,CC BY
336,336,CC BY
337,337,CC BY
338,338,CC BY
339,339,CC BY
340,340,CC BY
341,341,CC BY
342,342,CC BY
343,343,CC BY
344,344,CC BY
345,345,CC BY
346,346,CC BY
347,347,CC BY
348,348,CC BY
349,349,CC BY
350,350,CC BY
351,351,CC BY
352,352,CC BY
353,353,CC BY
354,354,CC BY
355,355,CC BY
356,356,CC BY
357,357,CC BY
358,358,CC BY
359,359,CC BY
360,360,CC BY
361,361,CC BY
362,362,CC BY
363,363,CC BY
364,364,CC BY
365,365,CC BY
366,366,CC BY
367,367,CC BY
368,368,CC BY
369,369,CC BY
370,370,CC BY
371,371,CC BY
372,372,CC BY
373,373,CC BY
374,374,CC BY
375,375,CC BY
376,376,CC BY
377,377,CC BY
378,378,CC BY
379,379,CC BY
380,380,CC BY
381,381,CC BY
382,382,CC BY
383,383,CC BY
384,384,CC BY
385,385,CC BY
386,386,CC BY
387,387,CC BY
388,388,CC BY
389,389,CC BY
390,390,CC BY
391,391,CC BY
392,392,CC BY
393,393,CC BY
394,394,CC BY
395,395,CC BY
396,396,CC BY
397,397,CC BY
398,398,CC BY
399,399,CC BY
400,400,CC BY
401,401,CC BY
402,402,CC BY
403,403,CC BY
404,404,CC BY
405,405,CC BY
406,406,CC BY
407,407,CC BY
408,408,CC BY
409,409,CC BY
410,410,CC BY
411,411,CC BY
412,412,CC BY
413,413,CC BY
414,414,CC BY
415,415,CC BY
416,416,CC BY
417,417,CC BY
418,418,CC BY
419,419,CC BY
420,420,CC BY
421,421,CC BY
422,422,CC BY
423,423,CC BY
424,424,CC BY
425,425,CC BY
426,426,CC BY
427,427,CC BY
428,428,CC BY
429,429,CC BY
430,430,CC BY
431,431,CC BY
432,432,CC BY
433,433,CC BY
434,434,CC BY
435,435,CC BY
436,436,CC BY
437,437,CC BY
438,438,CC BY
439,439,CC BY
440,440,CC BY
441,441,CC BY
442,442,CC BY
443,443,CC BY
444,444,CC BY
445,445,CC BY
446,446,CC BY
447,447,CC BY
448,448,CC BY
449,449,CC BY
450,450,CC BY
451,451,CC BY
452,452,CC BY
453,453,CC BY
454,454,CC BY
455,455,CC BY
456,456,CC BY
457,457,CC BY
458,458,CC BY
459,459,CC BY
460,460,CC BY
461,461,CC BY
462,462,CC BY
463,463,CC BY
464,464,CC BY
465,465,CC BY
466,466,CC BY
467,467,CC BY
468,468,CC BY
469,469,CC BY
470,470,CC BY
471,471,CC BY
472,472,CC BY
473,473,CC BY
474,474,CC BY
475,475,CC BY
476,476,CC BY
477,477,CC BY
478,478,CC BY
479,479,CC BY
480,480,CC BY
481,481,CC BY
482,482,CC BY
483,483,CC BY
484,484,CC BY
485,485,CC BY
486,486,CC BY
487,487,CC BY
488,488,CC BY
489,489,CC BY
490,490,CC BY
491,491,CC BY
492,492,CC BY
493,493,CC BY
494,494,CC BY
495,495,CC BY
496,496,CC BY
497,497,CC BY
498,498,CC BY
499,499,CC BY
500,500,CC BY
501,501,CC BY
502,502,CC BY
503,503,CC BY
504,504,CC BY
505,505,CC BY
506,506,CC BY
507,507,CC BY
508,508,CC BY
509,509,CC BY
510,510,CC BY
511,511,CC BY
512,512,CC BY
513,513,CC BY
514,514,CC BY
515,515,CC BY
516,516,CC BY
517,517,CC BY
518,518,CC BY
519,519,CC BY
520,520,CC BY
521,521,CC BY
522,522,CC BY
523,523,CC BY
524,524,CC BY
525,525,CC BY
526,526,CC BY
527,527,CC BY
528,528,CC BY
529,529,CC BY
530,530,CC BY
531,531,CC BY
532,532,CC BY
533,533,CC BY
534,534,CC BY
535,535,CC BY
536,536,CC BY
537,537,CC BY
538,538,CC BY
539,539,CC BY
540,540,CC BY
541,541,CC BY
542,542,CC BY
543,543,CC BY
544,544,CC BY
545,545,CC BY
546,546,CC BY
547,547,CC BY
548,548,CC BY
549,549,CC BY
550,550,CC BY
551,551,CC BY
552,552,CC BY
553,553,CC BY
554,554,CC BY
555,555,CC BY
556,556,CC BY
557,557,CC BY
558,558,CC BY
559,559,CC BY
560,560,CC BY
561,561,CC BY
562,562,CC BY
563,563,CC BY
564,564,CC BY
565,565,CC BY
566,566,CC BY
567,567,CC BY
568,568,CC BY
569,569,CC BY
570,570,CC BY
571,571,CC BY
572,572,CC BY
573,573,CC BY
574,574,CC BY
575,575,CC BY
576,576,CC BY
577,577,CC BY
578,578,CC BY
579,579,CC BY
580,580,CC BY
581,581,CC BY
582,582,CC BY
583,583,CC BY
584,584,CC BY
585,585,CC BY
586,586,CC BY
587,587,CC BY
588,588,CC BY
589,589,CC BY
590,590,CC BY
591,591,CC BY
592,592,CC BY
593,593,CC BY
594,594,CC BY
595,595,CC BY
596,596,CC BY
597,597,CC BY
598,598,CC BY
599,599,CC BY
600,600,CC BY
601,601,CC BY
602,602,CC BY
603,603,CC BY
604,604,CC BY
605,605,CC BY
606,606,CC0
607,607,CC0
608,608,CC0
609,609,CC0
610,610,CC0
611,611,CC0
612,612,CC0
613,613,CC0
614,614,CC0
615,615,CC0
616,616,CC0
617,617,CC0
618,618,CC0
619,619,CC0
620,620,CC0
621,621,CC0
622,622,CC0
623,623,CC0
624,624,CC0
625,625,CC0
626,626,CC0
627,627,CC0
628,628,CC0
629,629,CC0
630,630,CC0
631,631,CC0
632,632,CC0
633,633,CC0
634,634,CC0
635,635,CC0
636,636,CC0
637,637,CC0
638,638,CC0
639,639,CC0
640,640,CC0
641,641,CC0
642,642,CC0
643,643,CC0
644,644,CC0
645,645,CC0
646,646,CC0
647,647,CC0
648,648,CC0
649,649,CC0
650,650,CC0
651,651,CC0
652,652,CC0
653,653,CC0
654,654,CC0
655,655,CC0
656,656,CC0
657,657,CC0
658,658,CC0
659,659,CC0
660,660,CC0
661,661,CC0
662,662,CC0
663,663,CC0
664,664,CC0
665,665,CC0
666,666,CC0
667,667,CC0
668,668,CC0
669,669,CC0
670,670,CC0
671,671,CC0
672,672,CC0
673,673,CC0
674,674,CC0
675,675,CC0
676,676,CC0
677,677,CC0
678,678,CC0
679,679,CC0
680,680,CC0
681,681,CC0
682,682,CC0
683,683,CC0
684,684,CC0
685,685,CC0
686,686,CC0
687,687,CC0
688,688,CC0
689,689,CC0
690,690,CC0
691,691,CC0
692,692,CC0
693,693,CC0
694,694,CC0
695,695,CC0
696,696,CC0
697,697,CC0
698,698,CC0
699,699,CC0
700,700,CC0
701,701,CC0
702,702,CC0
703,703,CC0
704,704,CC0
705,705,CC0
706,706,CC0
707,707,CC0
708,708,CC0
709,709,CC0
710,710,CC0
711,711,CC0
712,712,CC0
713,713,CC0
714,714,CC0
715,715,CC0
716,716,CC0
717,717,CC0
718,718,CC0
719,719,CC0
720,720,CC0
721,721,CC0
722,722,CC0
723,723,CC0
724,724,CC0
725,725,CC0
726,726,CC0
727,727,CC0
728,728,CC0
729,729,CC0
730,730,CC0
731,731,CC0
732,732,CC0
733,733,CC0
734,734,CC0
735,735,CC0
736,736,CC0
737,737,CC0
738,738,CC0
739,739,CC0
740,740,CC0
741,741,CC0
742,742,CC0
743,743,CC0
744,744,CC0
745,745,CC0
746,746,CC0
747,747,CC0
748,748,CC0
749,749,CC0
750,750,CC0
751,751,CC0
752,752,CC0
753,753,CC0
754,754,CC0
755,755,CC0
756,756,CC0
757,757,CC0
758,758,CC0
759,759,CC0
760,760,CC0
761,761,CC0
762,762,CC0
763,763,CC0
764,764,CC0
765,765,CC0
766,766,CC0
767,767,CC0
768,768,CC0
769,769,CC0
770,770,CC0
771,771,CC0
772,772,CC0
773,773,CC0
774,774,CC0
775,775,CC0
776,776,CC0
777,777,CC0
778,778,CC0
779,779,CC0
780,780,CC0
781,781,CC0
782,782,CC0
783,783,CC0
784,784,CC0
785,785,CC0
786,786,CC0
787,787,CC0
788,788,CC0
789,789,CC0
790,790,CC0
791,791,CC0
792,792,CC0
793,793,CC0
794,794,CC0
795,795,CC0
796,796,CC0
797,797,CC0
798,798,CC0
799,799,CC0
800,800,CC0
801,801,CC0
802,802,CC0
803,803,CC0
804,804,CC0
805,805,CC0
806,806,CC0
807,807,CC0
808,808,CC0
809,809,CC0
810,810,CC0
811,811,CC0
812,812,CC0
813,813,CC0
814,814,CC0
815,815,CC0
816,816,CC0
817,817,CC0
818,818,CC0
819,819,CC0
820,820,CC0
821,821,CC0
822,822,CC0
823,823,CC0
824,824,CC0
825,825,CC0
826,826,CC0
827,827,CC0
828,828,CC0
829,829,CC0
830,830,CC0
831,831,CC0
832,832,CC0
833,833,CC0
834,834,CC0
835,835,CC0
836,836,CC0
837,837,CC0
838,838,CC0
839,839,CC0
840,840,CC0
841,841,CC0
842,842,CC0
843,843,CC0
844,844,CC0
845,845,CC0
846,846,CC0
847,847,CC0
848,848,CC0
849,849,CC0
850,850,CC0
851,851,CC0
852,852,CC0
853,853,CC0
854,854,CC0
855,855,CC0
856,856,CC0
857,857,CC0
858,858,CC0
859,859,CC0
860,860,CC0
861,861,CC0
862,862,CC0
863,863,CC0
864,864,CC0
865,865,CC0
866,866,CC0
867,867,CC0
868,868,CC0
869,869,CC0
870,870,CC0
871,871,CC0
872,872,CC0
873,873,CC0
874,874,CC0
875,875,CC0
876,876,CC0
877,877,CC0
878,878,CC0
879,879,CC0
880,880,CC0
881,881,CC0
882,882,CC0
883,883,CC0
884,884,CC0
885,885,CC0
886,886,CC0
887,887,CC0
888,888,CC0
889,889,CC0
890,890,CC0
891,891,CC0
892,892,CC0
893,893,CC0
894,894,CC0
895,895,CC0
896,896,CC0
897,897,CC0
898,898,CC0
899,899,CC0
900,900,CC0
901,901,CC0
902,902,CC0
903,903,CC0
904,904,CC0
905,905,CC0
906,906,CC0
907,907,CC0
908,908,CC0
909,909,CC0
910,910,CC0
911,911,CC0
912,912,CC0
913,913,CC0
914,914,CC0
915,915,CC0
916,916,CC0
917,917,CC0
918,918,CC0
919,919,CC0
920,920,CC0
921,921,CC0
922,922,CC0
923,923,CC0
924,924,CC0
925,925,CC0
926,926,CC0
927,927,CC0
928,928,CC0
929,929,CC0
930,930,CC0
931,931,CC0
932,932,CC0
933,933,CC0
934,934,CC0
935,935,CC0
936,936,CC0
937,937,CC0
938,938,CC0
939,939,CC0
940,940,CC0
941,941,CC0
942,942,CC0
943,943,CC0
944,944,CC0
945,945,CC0
946,946,CC0
947,947,CC0
948,948,CC0
949,949,CC0
950,950,CC0
951,951,CC0
952,952,CC0
953,953,CC0
954,954,CC0
955,955,CC0
956,956,CC0
957,957,CC0
958,958,CC0
959,959,CC0
960,960,CC0
961,961,CC0
962,962,CC0
963,963,CC0
964,964,CC0
965,965,CC0
966,966,CC0
967,967,CC0
968,968,CC0
969,969,CC0
970,970,CC0
971,971,CC0
972,972,CC0
973,973,CC0
974,974,CC0
975,975,CC0
976,976,CC0
977,977,CC0
978,978,CC0
979,979,CC0
980,980,CC0
981,981,CC0
982,982,CC0
983,983,CC0
984,984,CC0
985,985,CC0
986,986,CC0
987,987,CC0
988,988,CC0
989,989,CC0
990,990,CC0
991,991,CC0
992,992,CC0
993,993,CC0
994,994,CC0
995,995,CC0
996,996,CC0
997,997,CC0
998,998,CC0
999,999,CC0
1000,1000,CC0
1001,1001,CC0
1002,1002,CC0
1003,1003,CC0
1004,1004,CC0
1005,1005,CC0
1006,1006,CC0
1007,1007,CC0
1008,1008,CC0
1009,1009,CC0
1010,1010,CC0
1011,1011,CC0
1012,1012,CC0
1013,1013,CC0
1014,1014,CC0
1015,1015,CC0
1016,1016,CC0
1017,1017,CC0
1018,1018,CC0
1019,1019,CC0
1020,1020,CC0
1021,1021,CC0
1022,1022,CC0
1023,1023,CC0
1024,1024,CC0
1025,1025,CC0
1026,1026,CC0
1027,1027,CC0
1028,1028,CC0
1029,1029,CC0
1030,1030,CC0
1031,1031,CC0
1032,1032,CC0
1033,1033,CC0
1034,1034,CC0
1035,1035,CC0
1036,1036,CC0
1037,1037,CC0
1038,1038,CC0
1039,1039,CC0
1040,1040,CC0
1041,1041,CC0
1042,1042,CC0
1043,1043,CC0
1044,1044,CC0
1045,1045,CC0
1046,1046,CC0
1047,1047,CC0
1048,1048,CC0
1049,1049,CC0
1050,1050,CC0
1051,1051,CC0
1052,1052,CC0
1053,1053,CC0
1054,1054,CC0
1055,1055,CC0
1056,1056,CC0
1057,1057,CC0
1058,1058,CC0
1059,1059,CC0
1060,1060,CC0
1061,1061,CC0
1062,1062,CC0
1063,1063,CC0
1064,1064,CC0
1065,1065,CC0
1066,1066,CC0
1067,1067,CC0
1068,1068,CC0
1069,1069,CC0
1070,1070,CC0
1071,1071,CC0
1072,1072,CC0
1073,1073,CC0
1074,1074,CC0
1075,1075,CC0
1076,1076,CC0
1077,1077,CC0
1078,1078,CC0
1079,1079,CC0
1080,1080,CC0
1081,1081,CC0
1082,1082,CC0
1083,1083,CC0
1084,1084,CC0
1085,1085,CC0
1086,1086,CC0
1087,1087,CC0
1088,1088,CC0
1089,1089,CC0
1090,1090,CC0
1091,1091,CC0
1092,1092,CC0
1093,1093,CC0
1094,1094,CC0
1095,1095,CC0
1096,1096,CC0
1097,1097,CC0
1098,1098,CC0
1099,1099,CC0
1100,1100,CC0
1101,1101,CC0
1102,1102,CC0
1103,1103,CC0
1104,1104,CC0
1105,1105,CC0
1106,1106,CC0
1107,1107,CC0
1108,1108,CC0
1109,1109,CC0
1110,1110,CC0
1111,1111,CC0
1112,1112,CC0
1113,1113,CC0
1114,1114,CC0
1115,1115,CC0
1116,1116,CC0
1117,1117,CC0
1118,1118,CC0
1119,1119,CC0
1120,1120,CC0
1121,1121,CC0
1122,1122,CC0
1123,1123,CC0
1124,1124,CC0
1125,1125,CC0
1126,1126,CC0
1127,1127,CC0
1128,1128,CC0
1129,1129,CC0
1130,1130,CC0
1131,1131,CC0
1132,1132,CC0
1133,1133,CC0
1134,1134,CC0
1135,1135,CC0
1136,1136,CC0
1137,1137,CC0
1138,1138,CC0
1139,1139,CC0
1140,1140,CC0
1141,1141,CC0
1142,1142,CC0
1143,1143,CC0
1144,1144,CC0
1145,1145,CC0
1146,1146,CC0
1147,1147,CC0
1148,1148,CC0
1149,1149,CC0
1150,1150,CC0
1151,1151,CC0
1152,1152,CC0
1153,1153,CC0
1154,1154,CC0
1155,1155,CC0
1156,1156,CC0
1157,1157,CC0
1158,1158,CC0
1159,1159,CC0
1160,1160,CC0
1161,1161,CC0
1162,1162,CC0
1163,1163,CC0
1164,1164,CC0
1165,1165,CC0
1166,1166,CC0
1167,1167,CC0
1168,1168,CC0
1169,1169,CC0
1170,1170,CC0
1171,1171,CC0
1172,1172,CC0
1173,1173,CC0
1174,1174,CC0
1175,1175,CC0
1176,1176,CC0
1177,1177,CC0
1178,1178,CC0
1179,1179,CC0
1180,1180,CC0
1181,1181,CC0
1182,1182,CC0
1183,1183,CC0
1184,1184,CC0
1185,1185,CC0
1186,1186,CC0
1187,1187,CC0
1188,1188,CC0
1189,1189,CC0
1190,1190,CC0
1191,1191,CC0
1192,1192,CC0
1193,1193,CC0
1194,1194,CC0
1195,1195,CC0
1196,1196,CC0
1197,1197,CC0
1198,1198,CC0
1199,1199,CC0
1200,1200,CC0
1201,1201,CC0
1202,1202,CC0
1203,1203,CC0
1204,1204,CC0
1205,1205,CC0
1206,1206,CC0
1207,1207,CC0
1208,1208,CC0
1209,1209,CC0
1210,1210,CC0
1211,1211,CC0
1212,1212,CC0
1213,1213,CC0
1214,1214,CC0
1215,1215,CC0
1216,1216,CC0
1217,1217,CC0
1218,1218,CC0
1219,1219,CC0
1220,1220,CC0
1221,1221,CC0
1222,1222,CC0
1223,1223,CC0
1224,1224,CC0
1225,1225,CC0
1226,1226,CC0
1227,1227,CC0
1228,1228,CC0
1229,1229,CC0
1230,1230,CC0
1231,1231,CC0
1232,1232,CC0
1233,1233,CC0
1234,1234,CC0
1235,1235,CC0
1236,1236,CC0
1237,1237,CC0
1238,1238,CC0
1239,1239,CC0
1240,1240,CC0
1241,1241,CC0
1242,1242,CC0
1243,1243,CC0
1244,1244,CC0
1245,1245,CC0
1246,1246,CC0
1247,1247,CC0
1248,1248,CC0
1249,1249,CC0
1250,1250,CC0
1251,1251,CC0
1252,1252,CC0
1253,1253,CC0
1254,1254,CC0
1255,1255,CC0
1256,1256,CC0
1257,1257,CC0
1258,1258,CC0
1259,1259,CC0
1260,1260,CC0
1261,1261,CC0
1262,1262,CC0
1263,1263,CC0
1264,1264,CC0
1265,1265,CC0
1266,1266,CC0
1267,1267,CC0
1268,1268,CC0
1269,1269,CC0
1270,1270,CC0
1271,1271,CC0
1272,1272,CC0
1273,1273,CC0
1274,1274,CC0
1275,1275,CC0
1276,1276,CC0
1277,1277,CC0
1278,1278,CC0
1279,1279,CC0
1280,1280,CC0
1281,1281,CC0
1282,1282,CC0
1283,1283,CC0
1284,1284,CC0
1285,1285,CC0
1286,1286,CC0
1287,1287,CC0
1288,1288,CC0
1289,1289,CC0
1290,1290,CC0
1291,1291,CC0
1292,1292,CC0
1293,1293,CC0
1294,1294,CC0
1295,1295,CC0
1296,1296,CC0
1297,1297,CC0
1298,1298,CC0
1299,1299,CC0
1300,1300,CC0
1301,1301,CC0
1302,1302,CC0
1303,1303,CC0
1304,1304,CC0
1305,1305,CC0
1306,1306,CC0
1307,1307,CC0
1308,1308,CC0
1309,1309,CC0
1310,1310,CC0
1311,1311,CC0
1312,1312,CC0
1313,1313,CC0
1314,1314,CC0
1315,1315,CC0
1316,1316,CC0
1317,1317,CC0
1318,1318,CC0
1319,1319,CC0
1320,1320,CC0
1321,1321,CC0
1322,1322,CC0
1323,1323,CC0
1324,1324,CC0
1325,1325,CC0
1326,1326,CC0
1327,1327,CC0
1328,1328,CC0
1329,1329,CC0
1330,1330,CC0
1331,1331,CC0
1332,1332,CC0
1333,1333,CC0
1334,1334,CC0
1335,1335,CC0
1336,1336,CC0
1337,1337,CC0
1338,1338,CC0
1339,1339,CC0
1340,1340,CC0
1341,1341,CC0
1342,1342,CC0
1343,1343,CC0
1344,1344,CC0
1345,1345,CC0
1346,1346,CC0
1347,1347,CC0
1348,1348,CC0
1349,1349,CC0
1350,1350,CC0
1351,1351,CC0
1352,1352,CC0
1353,1353,CC0
1354,1354,CC0
1355,1355,CC0
1356,1356,CC0
1357,1357,CC0
1358,1358,CC0
1359,1359,CC0
1360,1360,CC0
1361,1361,CC0
1362,1362,CC0
1363,1363,CC0
1364,1364,CC0
1365,1365,CC0
1366,1366,CC0
1367,1367,CC0
1368,1368,CC0
1369,1369,CC0
1370,1370,CC0
1371,1371,CC0
1372,1372,CC0
1373,1373,CC0
1374,1374,CC0
1375,1375,CC0
1376,1376,CC0
1377,1377,CC0
1378,1378,CC0
1379,1379,CC0
1380,1380,CC0
1381,1381,CC0
1382,1382,CC0
1383,1383,CC0
1384,1384,CC0
1385,1385,CC0
1386,1386,CC0
1387,1387,CC0
1388,1388,CC0
1389,1389,CC0
1390,1390,CC0
1391,1391,CC0
1392,1392,CC0
1393,1393,CC0
1394,1394,CC0
1395,1395,CC0
1396,1396,CC0
1397,1397,CC0
1398,1398,CC0
1399,1399,CC0
1400,1400,CC0
1401,1401,CC0
1402,1402,CC0
1403,1403,CC0
1404,1404,CC0
1405,1405,CC0
1406,1406,CC0
1407,1407,CC0
1408,1408,CC0
1409,1409,CC0
1410,1410,CC0
1411,1411,CC0
1412,1412,CC0
1413,1413,CC0
1414,1414,CC0
1415,1415,CC0
1416,1416,CC0
1417,1417,CC0
1418,1418,CC0
1419,1419,CC0
1420,1420,CC0
1421,1421,CC0
1422,1422,CC0
1423,1423,CC0
1424,1424,CC0
1425,1425,CC0
1426,1426,CC0
1427,1427,CC0
1428,1428,CC0
1429,1429,CC0
1430,1430,CC0
1431,1431,CC0
1432,1432,CC0
1433,1433,CC0
1434,1434,CC0
1435,1435,CC0
1436,1436,CC0
1437,1437,CC0
1438,1438,CC0
1439,1439,CC0
1440,1440,CC0
1441,1441,CC0
1442,1442,CC0
1443,1443,CC0
1444,1444,CC0
1445,1445,CC0
1446,1446,CC0
1447,1447,CC0
1448,1448,CC0
1449,1449,CC0
1450,1450,CC0
1451,1451,CC0
1452,1452,CC0
1453,1453,CC0
1454,1454,CC0
1455,1455,CC0
1456,1456,CC0
1457,1457,CC0
1458,1458,CC0
1459,1459,CC0
1460,1460,CC0
1461,1461,CC0
1462,1462,CC0
1463,1463,CC0
1464,1464,CC0
1465,1465,CC0
1466,1466,CC0
1467,1467,CC0
1468,1468,CC0
1469,1469,CC0
1470,1470,CC0
1471,1471,CC0
1472,1472,CC0
1473,1473,CC0
1474,1474,CC0
1475,1475,CC0
1476,1476,CC0
1477,1477,CC0
1478,1478,CC0
1479,1479,CC0
1480,1480,CC0
1481,1481,CC0
1482,1482,CC0
1483,1483,CC0
1484,1484,CC0
1485,1485,CC0
1486,1486,CC0
1487,1487,CC0
1488,1488,CC0
1489,1489,CC0
1490,1490,CC0
1491,1491,CC0
1492,1492,CC0
1493,1493,CC0
1494,1494,CC0
1495,1495,CC0
1496,1496,CC0
1497,1497,CC0
1498,1498,CC0
1499,1499,CC0
1500,1500,CC0
1501,1501,CC0
1502,1502,CC0
1503,1503,CC0
1504,1504,CC0
1505,1505,CC0
1506,1506,CC0
1507,1507,CC0
1508,1508,CC0
1509,1509,CC0
1510,1510,CC0
1511,1511,CC0
1512,1512,CC0
1513,1513,CC0
1514,1514,CC0
1515,1515,CC0
1516,1516,CC0
1517,1517,CC0
1518,1518,CC0
