id,project_id,license
1,1,CC BY
2,2,CC BY
3,3,CC BY
4,4,CC BY
5,5,CC BY
6,6,CC BY
7,7,CC BY
8,8,CC BY
9,9,CC BY
10,10,CC BY
11,11,CC BY
12,12,CC BY
13,13,CC BY
14,14,CC BY
15,15,CC BY
16,16,CC BY
17,17,CC BY
18,18,CC BY
19,19,CC BY
20,20,CC BY
21,21,CC BY
22,22,CC BY
23,23,CC BY
24,24,CC BY
25,25,CC BY
26,26,CC BY
27,27,CC BY
28,28,CC BY
29,29,CC BY
30,30,CC BY
31,31,CC BY
32,32,CC BY
33,33,CC BY
34,34,CC BY
35,35,CC BY
36,36,CC BY
37,37,CC BY
38,38,CC BY
39,39,CC BY
40,40,CC BY
41,41,CC BY
42,42,CC BY
43,43,CC BY
44,44,CC BY
45,45,CC BY
46,46,CC BY
47,47,CC BY
48,48,CC BY
49,49,CC BY
50,50,CC BY
51,51,CC BY
52,52,CC BY
53,53,CC BY
54,54,CC BY
55,55,CC BY
56,56,CC BY
57,57,CC BY
58,58,CC BY
59,59,CC BY
60,60,CC BY
61,61,CC BY
62,62,CC BY
63,63,CC BY
64,64,CC BY
65,65,CC BY
66,66,CC BY
67,67,CC BY
68,68,CC BY
69,69,CC BY
70,70,CC BY
71,71,CC BY
72,72,CC BY
73,73,CC BY
74,74,CC BY
75,75,CC BY
76,76,CC BY
77,77,CC BY
78,78,CC BY
79,79,CC BY
80,80,CC BY
81,81,CC BY
82,82,CC BY
83,83,CC BY
84,84,CC BY
85,85,CC BY
86,86,CC BY
87,87,CC BY
88,88,CC BY
89,89,CC BY
90,90,CC BY
91,91,CC BY
92,92,CC BY
93,93,CC BY
94,94,CC BY
95,95,CC BY
96,96,CC BY
97,97,CC BY
98,98,CC BY
99,99,CC BY
100,100,CC BY
101,101,CC BY
102,102,CC BY
103,103,CC BY
104,104,CC BY
105,105,CC BY
106,106,CC BY
107,107,CC BY
108,108,CC BY
109,109,CC BY
110,110,CC BY
111,111,CC BY
112,112,CC BY
113,113,CC BY
114,114,CC BY
115,115,CC BY
116,116,CC BY
117,117,CC BY
118,118,CC BY
119,119,CC BY
120,120,CC BY
121,121,CC BY
122,122,CC BY
123,123,CC BY
124,124,CC BY
125,125,CC BY
126,126,CC BY
127,127,CC BY
128,128,CC BY
129,129,CC BY
130,130,CC BY
131,131,CC BY
132,132,CC BY
133,133,CC BY
134,134,CC BY
135,135,CC BY
136,136,CC BY
137,137,CC BY
138,138,CC BY
139,139,CC BY
140,140,CC BY
141,141,CC BY
142,142,CC BY
143,143,CC BY
144,144,CC BY
145,145,CC BY
146,146,CC BY
147,147,CC BY
148,148,CC BY
149,149,CC BY
150,150,CC BY
151,151,CC BY
152,152,CC BY
153,153,CC BY
154,154,CC BY
155,155,CC BY
156,156,CC BY
157,157,CC BY
158,158,CC BY
159,159,CC BY
160,160,CC BY
161,161,CC BY
162,162,CC BY
163,163,CC BY
164,164,CC BY
165,165,CC BY
166,166,CC BY
167,167,CC BY
168,168,CC BY
169,169,CC BY
170,170,CC BY
171,171,CC BY
172,172,CC BY
173,173,CC BY
174,174,CC BY
175,175,CC BY
176,176,CC BY
177,177,CC BY
178,178,CC BY
179,179,CC BY
180,180,CC BY
181,181,CC BY
182,182,CC BY
183,183,CC BY
184,184,CC BY
185,185,CC BY
186,186,CC BY
187,187,CC BY
188,188,CC BY
189,189,CC BY
190,190,CC BY
191,191,CC BY
192,192,CC BY
193,193,CC BY
194,194,CC BY
195,195,CC BY
196,196,CC BY
197,197,CC BY
198,198,CC BY
199,199,CC BY
200,200,CC BY
201,201,CC BY
202,202,CC BY
203,203,CC BY
204,204,CC BY
205,205,CC BY
206,206,CC BY
207,207,CC BY
208,208,CC BY
209,209,CC BY
210,210,CC BY
211,211,CC BY
212,212,CC BY
213,213,CC BY
214,214,CC BY
215,215,CC BY
216,216,CC BY
217,217,CC BY
218,218,CC BY
219,219,CC BY
220,220,CC BY
221,221,CC BY
222,222,CC BY
223,223,CC BY
224,224,CC BY
225,225,CC BY
226,226,CC BY
227,227,CC BY
228,228,CC BY
229,229,CC BY
230,230,CC BY
231,231,CC BY
